City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,Suleja,9.1758,7.1808,86.99,48,70,3.74,NG,2021-11-17 17:28:20
190,Lahan,26.7296,86.4951,67.19,65,89,4.18,NP,2021-11-17 17:28:20
191,Chabahar,25.2919,60.643,76.46,50,0,5.7,IR,2021-11-17 17:28:21
192,Puerto Del Rosario,28.5004,-13.8627,71.28,64,75,11.5,ES,2021-11-17 17:28:21
193,Dunedin,-45.8742,170.5036,47.55,77,96,6.11,NZ,2021-11-17 17:27:18
194,Pak Phanang,8.3511,100.202,83.07,86,100,6.38,TH,2021-11-17 17:28:21
195,Pangkalanbuun,-2.6833,111.6167,75.13,94,95,0.76,ID,2021-11-17 17:28:22
196,Sapernoye,60.7167,29.9505,37.65,92,100,7.25,RU,2021-11-17 17:28:22
197,Fairbanks,64.8378,-147.7164,6.22,77,90,1.01,US,2021-11-17 17:28:22
198,Jiexiu,37.0244,111.9125,45.66,40,0,5.41,CN,2021-11-17 17:28:22
199,Nizhneangarsk,55.7833,109.55,10.76,73,68,8.32,RU,2021-11-17 17:28:23
200,Esperance,-33.8667,121.9,57.04,74,52,15.86,AU,2021-11-17 17:28:23
201,Vao,-22.6667,167.4833,75.06,81,33,19.06,NC,2021-11-17 17:28:23
202,Bandarbeyla,9.4942,50.8122,77.88,67,92,12.66,SO,2021-11-17 17:28:24
203,Praia Da Vitoria,38.7333,-27.0667,69.76,83,40,14.0,PT,2021-11-17 17:28:24
204,Nata,8.3333,-80.5167,85.87,65,25,1.48,PA,2021-11-17 17:28:24
205,Mopipi,-21.1833,24.8833,88.23,26,67,3.62,BW,2021-11-17 17:28:24
206,Lumberton,34.6182,-79.0086,75.9,32,0,9.44,US,2021-11-17 17:28:25
207,Kayerkan,69.3497,87.7602,-14.71,91,64,6.24,RU,2021-11-17 17:28:25
208,Bubaque,11.2833,-15.8333,82.65,70,66,10.11,GW,2021-11-17 17:28:25
209,Kirkwood,38.5834,-90.4068,71.31,71,75,3.0,US,2021-11-17 17:28:25
210,Hanmer Springs,-42.5167,172.8167,39.29,94,3,4.47,NZ,2021-11-17 17:28:26
211,Darnah,32.767,22.6367,67.35,67,0,4.68,LY,2021-11-17 17:28:26
212,Inuvik,68.3499,-133.7218,6.84,82,75,4.61,CA,2021-11-17 17:28:26
213,Saldanha,-33.0117,17.9442,64.45,75,6,26.13,ZA,2021-11-17 17:28:27
214,Portland,45.5234,-122.6762,48.22,73,40,1.01,US,2021-11-17 17:23:36
215,Surt,31.2089,16.5887,72.54,63,44,15.73,LY,2021-11-17 17:28:27
216,San Policarpo,12.1791,125.5072,80.78,73,99,5.19,PH,2021-11-17 17:28:27
217,Mporokoso,-9.3727,30.125,63.59,84,77,4.79,ZM,2021-11-17 17:28:27
218,Mimoso Do Sul,-21.0642,-41.3664,79.0,76,85,6.71,BR,2021-11-17 17:28:28
219,Carnarvon,-24.8667,113.6333,69.87,64,90,18.41,AU,2021-11-17 17:28:28
220,Martinho Campos,-19.3317,-45.2369,85.06,44,78,4.9,BR,2021-11-17 17:28:28
221,Port Hueneme,34.1478,-119.1951,65.48,84,90,5.75,US,2021-11-17 17:26:16
222,Egvekinot,66.3167,-179.1667,-2.31,86,21,7.05,RU,2021-11-17 17:28:29
223,Buala,-8.145,159.5921,79.92,80,42,4.12,SB,2021-11-17 17:28:29
224,Strezhevoy,60.7333,77.5889,10.38,94,100,10.22,RU,2021-11-17 17:28:29
225,Nova Olimpia,-14.7972,-57.2881,77.74,90,100,3.02,BR,2021-11-17 17:28:29
226,Roros,62.5747,11.3842,26.44,86,99,5.75,NO,2021-11-17 17:28:30
227,Longyearbyen,78.2186,15.6401,24.64,74,75,33.38,SJ,2021-11-17 17:28:30
228,Viana,-20.3903,-40.4961,78.57,89,80,5.12,BR,2021-11-17 17:28:30
